	Freq	Rel.Freq
and	27	0.0555555555555556
of	18	0.037037037037037
r	17	0.0349794238683128
the	17	0.0349794238683128
is	14	0.0288065843621399
a	13	0.0267489711934156
for	10	0.0205761316872428
to	9	0.0185185185185185
in	8	0.0164609053497942
it	7	0.01440329218107
which	7	0.01440329218107
s	6	0.0123456790123457
an	5	0.0102880658436214
as	5	0.0102880658436214
can	5	0.0102880658436214
data	5	0.0102880658436214
environment	5	0.0102880658436214
language	5	0.0102880658436214
statistical	5	0.0102880658436214
analysis	4	0.00823045267489712
are	4	0.00823045267489712
be	4	0.00823045267489712
code	4	0.00823045267489712
software	4	0.00823045267489712
users	4	0.00823045267489712
c	3	0.00617283950617284
facilities	3	0.00617283950617284
graphical	3	0.00617283950617284
on	3	0.00617283950617284
system	3	0.00617283950617284
wide	3	0.00617283950617284
with	3	0.00617283950617284
at	2	0.00411522633744856
available	2	0.00411522633744856
but	2	0.00411522633744856
by	2	0.00411522633744856
choices	2	0.00411522633744856
coherent	2	0.00411522633744856
display	2	0.00411522633744856
documentation	2	0.00411522633744856
effective	2	0.00411522633744856
free	2	0.00411522633744856
functions	2	0.00411522633744856
gnu	2	0.00411522633744856
graphics	2	0.00411522633744856
hardcopy	2	0.00411522633744856
has	2	0.00411522633744856
includes	2	0.00411522633744856
including	2	0.00411522633744856
integrated	2	0.00411522633744856
many	2	0.00411522633744856
much	2	0.00411522633744856
packages	2	0.00411522633744856
provides	2	0.00411522633744856
runs	2	0.00411522633744856
similar	2	0.00411522633744856
source	2	0.00411522633744856
statistics	2	0.00411522633744856
suite	2	0.00411522633744856
techniques	2	0.00411522633744856
there	2	0.00411522633744856
think	2	0.00411522633744856
tools	2	0.00411522633744856
under	2	0.00411522633744856
variety	2	0.00411522633744856
very	2	0.00411522633744856
written	2	0.00411522633744856
	1	0.00205761316872428
about	1	0.00205761316872428
accretion	1	0.00205761316872428
activity	1	0.00205761316872428
add	1	0.00205761316872428
additional	1	0.00205761316872428
advanced	1	0.00205761316872428
algorithmic	1	0.00205761316872428
allows	1	0.00205761316872428
around	1	0.00205761316872428
arrays	1	0.00205761316872428
att	1	0.00205761316872428
been	1	0.00205761316872428
bell	1	0.00205761316872428
both	1	0.00205761316872428
calculation	1	0.00205761316872428
calculations	1	0.00205761316872428
called	1	0.00205761316872428
care	1	0.00205761316872428
case	1	0.00205761316872428
chambers	1	0.00205761316872428
characterize	1	0.00205761316872428
choice	1	0.00205761316872428
classical	1	0.00205761316872428
classification	1	0.00205761316872428
clustering	1	0.00205761316872428
colleagues	1	0.00205761316872428
collection	1	0.00205761316872428
compiles	1	0.00205761316872428
comprehensive	1	0.00205761316872428
computationallyintensive	1	0.00205761316872428
computer	1	0.00205761316872428
computing	1	0.00205761316872428
conditionals	1	0.00205761316872428
considered	1	0.00205761316872428
control	1	0.00205761316872428
covering	1	0.00205761316872428
cran	1	0.00205761316872428
defaults	1	0.00205761316872428
defining	1	0.00205761316872428
design	1	0.00205761316872428
designed	1	0.00205761316872428
developed	1	0.00205761316872428
dialect	1	0.00205761316872428
differences	1	0.00205761316872428
different	1	0.00205761316872428
directly	1	0.00205761316872428
distribution	1	0.00205761316872428
ease	1	0.00205761316872428
easily	1	0.00205761316872428
easy	1	0.00205761316872428
eight	1	0.00205761316872428
either	1	0.00205761316872428
extended	1	0.00205761316872428
extensible	1	0.00205761316872428
facility	1	0.00205761316872428
family	1	0.00205761316872428
follow	1	0.00205761316872428
form	1	0.00205761316872428
format	1	0.00205761316872428
formats	1	0.00205761316872428
formerly	1	0.00205761316872428
formulae	1	0.00205761316872428
fortran	1	0.00205761316872428
foundations	1	0.00205761316872428
freebsd	1	0.00205761316872428
frequently	1	0.00205761316872428
full	1	0.00205761316872428
fully	1	0.00205761316872428
functionality	1	0.00205761316872428
general	1	0.00205761316872428
great	1	0.00205761316872428
handling	1	0.00205761316872428
highly	1	0.00205761316872428
implementation	1	0.00205761316872428
implemented	1	0.00205761316872428
important	1	0.00205761316872428
incremental	1	0.00205761316872428
inflexible	1	0.00205761316872428
input	1	0.00205761316872428
intended	1	0.00205761316872428
intermediate	1	0.00205761316872428
internet	1	0.00205761316872428
introduction	1	0.00205761316872428
its	1	0.00205761316872428
itself	1	0.00205761316872428
john	1	0.00205761316872428
laboratories	1	0.00205761316872428
large	1	0.00205761316872428
latexlike	1	0.00205761316872428
license	1	0.00205761316872428
like	1	0.00205761316872428
linear	1	0.00205761316872428
linked	1	0.00205761316872428
linux	1	0.00205761316872428
loops	1	0.00205761316872428
lucent	1	0.00205761316872428
macos	1	0.00205761316872428
made	1	0.00205761316872428
makes	1	0.00205761316872428
manipulate	1	0.00205761316872428
manipulation	1	0.00205761316872428
mathematical	1	0.00205761316872428
matrices	1	0.00205761316872428
methodology	1	0.00205761316872428
minor	1	0.00205761316872428
modelling	1	0.00205761316872428
modern	1	0.00205761316872428
more	1	0.00205761316872428
needed	1	0.00205761316872428
new	1	0.00205761316872428
nonlinear	1	0.00205761316872428
now	1	0.00205761316872428
number	1	0.00205761316872428
objects	1	0.00205761316872428
often	1	0.00205761316872428
one	1	0.00205761316872428
online	1	0.00205761316872428
onscreen	1	0.00205761316872428
open	1	0.00205761316872428
operators	1	0.00205761316872428
or	1	0.00205761316872428
other	1	0.00205761316872428
output	1	0.00205761316872428
over	1	0.00205761316872428
own	1	0.00205761316872428
participation	1	0.00205761316872428
particular	1	0.00205761316872428
planned	1	0.00205761316872428
platforms	1	0.00205761316872428
plots	1	0.00205761316872428
prefer	1	0.00205761316872428
produced	1	0.00205761316872428
programming	1	0.00205761316872428
project	1	0.00205761316872428
public	1	0.00205761316872428
publicationquality	1	0.00205761316872428
range	1	0.00205761316872428
rather	1	0.00205761316872428
recursive	1	0.00205761316872428
research	1	0.00205761316872428
retains	1	0.00205761316872428
route	1	0.00205761316872428
rs	1	0.00205761316872428
run	1	0.00205761316872428
simple	1	0.00205761316872428
sites	1	0.00205761316872428
some	1	0.00205761316872428
specific	1	0.00205761316872428
storage	1	0.00205761316872428
strengths	1	0.00205761316872428
supplied	1	0.00205761316872428
supply	1	0.00205761316872428
symbols	1	0.00205761316872428
systems	1	0.00205761316872428
taken	1	0.00205761316872428
tasks	1	0.00205761316872428
technologies	1	0.00205761316872428
term	1	0.00205761316872428
terms	1	0.00205761316872428
tests	1	0.00205761316872428
than	1	0.00205761316872428
that	1	0.00205761316872428
through	1	0.00205761316872428
time	1	0.00205761316872428
timeseries	1	0.00205761316872428
true	1	0.00205761316872428
unaltered	1	0.00205761316872428
unix	1	0.00205761316872428
used	1	0.00205761316872428
user	1	0.00205761316872428
userdefined	1	0.00205761316872428
vehicle	1	0.00205761316872428
via	1	0.00205761316872428
was	1	0.00205761316872428
we	1	0.00205761316872428
welldesigned	1	0.00205761316872428
welldeveloped	1	0.00205761316872428
what	1	0.00205761316872428
where	1	0.00205761316872428
windows	1	0.00205761316872428
