	Freq	Rel.Freq
to	395	0.0406169665809769
the	331	0.0340359897172237
a	296	0.0304370179948586
of	230	0.0236503856041131
you	171	0.0175835475578406
and	135	0.0138817480719794
that	131	0.0134704370179949
is	117	0.0120308483290488
in	112	0.0115167095115681
I	91	0.0093573264781491
was	86	0.00884318766066838
for	83	0.00853470437017995
be	75	0.0077120822622108
it	73	0.00750642673521851
people	70	0.00719794344473008
have	69	0.00709511568123393
are	66	0.0067866323907455
with	63	0.00647814910025707
they	63	0.00647814910025707
as	61	0.00627249357326478
we	51	0.00524421593830334
not	49	0.00503856041131105
do	47	0.00483290488431877
who	46	0.00473007712082262
at	46	0.00473007712082262
about	46	0.00473007712082262
if	44	0.00452442159383033
but	43	0.00442159383033419
The	42	0.00431876606683805
more	41	0.0042159383033419
But	40	0.00411311053984576
your	39	0.00401028277634961
because	39	0.00401028277634961
don't	38	0.00390745501285347
this	37	0.00380462724935733
than	37	0.00380462724935733
from	37	0.00380462724935733
what	36	0.00370179948586118
on	36	0.00370179948586118
start	35	0.00359897172236504
you're	34	0.00349614395886889
were	34	0.00349614395886889
an	34	0.00349614395886889
so	33	0.00339331619537275
or	32	0.00329048843187661
can	32	0.00329048843187661
startup	31	0.00318766066838046
money	31	0.00318766066838046
get	31	0.00318766066838046
company	31	0.00318766066838046
business	31	0.00318766066838046
had	30	0.00308483290488432
something	29	0.00298200514138817
our	29	0.00298200514138817
one	29	0.00298200514138817
like	29	0.00298200514138817
If	29	0.00298200514138817
And	29	0.00298200514138817
lot	28	0.00287917737789203
all	28	0.00287917737789203
most	27	0.00277634961439589
how	27	0.00277634961439589
want	26	0.00267352185089974
make	26	0.00267352185089974
will	25	0.0025706940874036
think	25	0.0025706940874036
there	25	0.0025706940874036
them	25	0.0025706940874036
startups	25	0.0025706940874036
out	25	0.0025706940874036
only	25	0.0025706940874036
just	24	0.00246786632390746
by	24	0.00246786632390746
would	23	0.00236503856041131
So	23	0.00236503856041131
good	23	0.00236503856041131
way	22	0.00226221079691517
when	21	0.00215938303341902
their	20	0.00205655526992288
know	20	0.00205655526992288
work	19	0.00195372750642674
should	19	0.00195372750642674
It's	19	0.00195372750642674
it's	19	0.00195372750642674
hard	19	0.00195372750642674
even	18	0.00185089974293059
could	18	0.00185089974293059
you'll	17	0.00174807197943445
things	17	0.00174807197943445
them.	17	0.00174807197943445
no	17	0.00174807197943445
it.	17	0.00174807197943445
didn't	17	0.00174807197943445
You	16	0.0016452442159383
We	16	0.0016452442159383
someone	16	0.0016452442159383
probably	16	0.0016452442159383
few	16	0.0016452442159383
which	15	0.00154241645244216
much	15	0.00154241645244216
may	15	0.00154241645244216
big	15	0.00154241645244216
When	14	0.00143958868894602
up	14	0.00143958868894602
into	14	0.00143958868894602
idea	14	0.00143958868894602
he	14	0.00143958868894602
doing	14	0.00143958868894602
companies	14	0.00143958868894602
This	13	0.00133676092544987
some	13	0.00133676092544987
software	13	0.00133676092544987
other	13	0.00133676092544987
need	13	0.00133676092544987
It	13	0.00133676092544987
founders	13	0.00133676092544987
did	13	0.00133676092544987
customers	13	0.00133676092544987
users	12	0.00123393316195373
two	12	0.00123393316195373
too	12	0.00123393316195373
There	12	0.00123393316195373
right	12	0.00123393316195373
reason	12	0.00123393316195373
person	12	0.00123393316195373
go	12	0.00123393316195373
find	12	0.00123393316195373
worth	11	0.00113110539845758
What	11	0.00113110539845758
use	11	0.00113110539845758
us	11	0.00113110539845758
try	11	0.00113110539845758
they're	11	0.00113110539845758
that's	11	0.00113110539845758
startup,	11	0.00113110539845758
many	11	0.00113110539845758
In	11	0.00113110539845758
getting	11	0.00113110539845758
better	11	0.00113110539845758
best	11	0.00113110539845758
you've	10	0.00102827763496144
working	10	0.00102827763496144
VCs	10	0.00102827763496144
used	10	0.00102827763496144
those	10	0.00102827763496144
then	10	0.00102827763496144
tell	10	0.00102827763496144
technology	10	0.00102827763496144
take	10	0.00102827763496144
same	10	0.00102827763496144
might	10	0.00102827763496144
kind	10	0.00102827763496144
it,	10	0.00102827763496144
